Pupil Name,Date of Birth,This Year's Birthday,Month,Cake Needed On,BDs per Weekday and Month
Blinny Upwood,2013-03-15,2022-03-15,March,Tuesday,13
Carmine Budd,2012-05-03,2022-05-03,May,Tuesday,15
Walker Capron,2015-08-30,2022-08-30,August,Tuesday,15
Hollyanne Tomaszewicz,2014-05-03,2022-05-03,May,Tuesday,15
Johna Kordova,2012-11-29,2021-11-29,November,Monday,12
Brit Craze,2012-12-29,2021-12-29,December,Wednesday,20
Babs Swaysland,2013-04-21,2022-04-21,April,Thursday,11
Ronica Proppers,2015-03-07,2022-03-07,March,Monday,8
Sasha Corsor,2013-08-09,2022-08-09,August,Tuesday,15
Grethel Husset,2015-08-07,2022-08-07,August,Friday,24
Lotta Ucceli,2015-06-17,2022-06-17,June,Friday,30
Gerrie Bonehill,2012-11-05,2021-11-05,November,Friday,38
Buckie Ezzle,2015-08-29,2022-08-29,August,Monday,12
Kizzie Columbine,2012-06-30,2022-06-30,June,Thursday,12
Bobbie Cobbing,2012-09-28,2021-09-28,September,Tuesday,7
Dasha Traite,2014-04-08,2022-04-08,April,Friday,55
Janetta Dressell,2015-08-26,2022-08-26,August,Friday,24
Randall Barnfield,2012-02-05,2022-02-05,February,Friday,31
Vonni Mullin,2013-03-21,2022-03-21,March,Monday,8
Reg Watting,2012-02-19,2022-02-19,February,Friday,31
Stanley Monks,2012-01-15,2022-01-15,January,Friday,33
Cori Oolahan,2012-11-25,2021-11-25,November,Thursday,12
Killian Cater,2015-01-23,2022-01-23,January,Friday,33
Angil Grundy,2011-12-24,2021-12-24,December,Friday,51
Winston Coltan,2013-07-29,2022-07-29,July,Friday,49
Elianora Killshaw,2014-04-07,2022-04-07,April,Thursday,11
Elsa Yakutin,2012-07-03,2022-07-03,July,Friday,49
Melodie Maine,2011-10-15,2021-10-15,October,Friday,35
Gena Hollyman,2013-01-14,2022-01-14,January,Friday,33
Vallie Beetles,2015-05-21,2022-05-21,May,Friday,31
Jada Lindenman,2014-09-04,2021-09-04,September,Friday,29
Consolata Augur,2013-09-09,2021-09-09,September,Thursday,14
Gail Farnish,2012-11-06,2021-11-06,November,Friday,38
Jdavie Chard,2013-07-20,2022-07-20,July,Wednesday,19
Hartwell Drakeley,2014-01-21,2022-01-21,January,Friday,33
Tanitansy Lowther,2012-12-04,2021-12-04,December,Friday,51
Cherie Himsworth,2011-12-02,2021-12-02,December,Thursday,14
Pail Weadick,2015-04-21,2022-04-21,April,Thursday,11
Ivy Bridgen,2012-03-06,2022-03-06,March,Friday,31
Porty Lowdiane,2015-01-31,2022-01-31,January,Monday,14
Emylee Shawel,2014-05-02,2022-05-02,May,Monday,7
Hayward MacKellen,2014-04-29,2022-04-29,April,Friday,55
Charita Mabee,2013-08-27,2022-08-27,August,Friday,24
Lelah Huyghe,2011-10-16,2021-10-16,October,Friday,35
Audre Balsdon,2012-10-16,2021-10-16,October,Friday,35
Melesa Carillo,2013-07-23,2022-07-23,July,Friday,49
Penny Nertney,2012-04-24,2022-04-24,April,Friday,55
Devan Soppett,2015-07-16,2022-07-16,July,Friday,49
Philippe Plume,2013-08-16,2022-08-16,August,Tuesday,15
Hunt Zamboniari,2013-12-01,2021-12-01,December,Wednesday,20
Ralina O'Lunny,2014-05-29,2022-05-29,May,Friday,31
Marianne Doig,2011-11-08,2021-11-08,November,Monday,12
Hildegaard Loveredge,2012-02-03,2022-02-03,February,Thursday,12
Renee Ingray,2012-07-26,2022-07-26,July,Tuesday,12
Stevana Baddiley,2015-02-16,2022-02-16,February,Wednesday,8
Rafaelita Punshon,2011-11-09,2021-11-09,November,Tuesday,17
Dacie Harnetty,2012-03-24,2022-03-24,March,Thursday,19
Davidde Linch,2015-01-22,2022-01-22,January,Friday,33
Helsa Parham,2014-05-04,2022-05-04,May,Wednesday,8
Gustave Pickervance,2012-11-03,2021-11-03,November,Wednesday,13
Stearn Quilleash,2011-09-18,2021-09-18,September,Friday,29
Bernhard Pakes,2013-04-09,2022-04-09,April,Friday,55
Zebadiah Nudde,2011-11-09,2021-11-09,November,Tuesday,17
Edgardo Bickell,2014-03-31,2022-03-31,March,Thursday,19
Alane Biddiss,2012-07-29,2022-07-29,July,Friday,49
Marylynne Hinckesman,2014-10-10,2021-10-10,October,Friday,35
Leslie Hann,2013-05-24,2022-05-24,May,Tuesday,15
Johna Degue,2012-02-17,2022-02-17,February,Thursday,12
Leupold Paladino,2014-04-30,2022-04-30,April,Friday,55
Adham Purrier,2012-05-17,2022-05-17,May,Tuesday,15
Adlai Trippitt,2013-08-22,2022-08-22,August,Monday,12
Anthony Paolazzi,2013-12-17,2021-12-17,December,Friday,51
Muhammad Daysh,2015-04-14,2022-04-14,April,Thursday,11
Reyna Dudson,2015-04-27,2022-04-27,April,Wednesday,12
Olivia Elsay,2014-06-29,2022-06-29,June,Wednesday,15
Rica Greensitt,2013-08-21,2022-08-21,August,Friday,24
Puff Wattam,2013-06-29,2022-06-29,June,Wednesday,15
Claudina Biasetti,2014-02-20,2022-02-20,February,Friday,31
Terrance Sibary,2015-06-04,2022-06-04,June,Friday,30
Celinka Skey,2014-09-23,2021-09-23,September,Thursday,14
Dew Bartlett,2014-11-23,2021-11-23,November,Tuesday,17
Gaye Dallison,2015-05-26,2022-05-26,May,Thursday,12
Terry Lillow,2013-08-10,2022-08-10,August,Wednesday,10
Shel Vice,2015-01-23,2022-01-23,January,Friday,33
Drucy Greet,2011-10-18,2021-10-18,October,Monday,9
Ingelbert Sessuns,2013-07-14,2022-07-14,July,Thursday,12
Zak Lillee,2013-08-26,2022-08-26,August,Friday,24
Mirilla Davidow,2014-11-21,2021-11-21,November,Friday,38
Buiron Crauford,2012-03-18,2022-03-18,March,Friday,31
Gizela Oke,2015-04-30,2022-04-30,April,Friday,55
Candace Glowacz,2015-01-03,2022-01-03,January,Monday,14
Rockey Center,2014-01-30,2022-01-30,January,Friday,33
Lannie Bessey,2012-02-06,2022-02-06,February,Friday,31
Blanche Edling,2012-11-02,2021-11-02,November,Tuesday,17
Yevette Crimpe,2015-04-15,2022-04-15,April,Friday,55
Kimmy Brody,2012-03-13,2022-03-13,March,Friday,31
Burnaby Gosby,2013-09-09,2021-09-09,September,Thursday,14
Bearnard Swainston,2013-01-11,2022-01-11,January,Tuesday,12
Chrissie Torrans,2014-08-02,2022-08-02,August,Tuesday,15
Marc Bailey,2014-09-28,2021-09-28,September,Tuesday,7
Merl Pudner,2014-10-03,2021-10-03,October,Friday,35
Ivar Noddings,2013-05-05,2022-05-05,May,Thursday,12
Maryjo Dewicke,2012-02-09,2022-02-09,February,Wednesday,8
Kippar Lambrecht,2012-06-24,2022-06-24,June,Friday,30
Donielle Selwyne,2015-03-03,2022-03-03,March,Thursday,19
Kerstin Escreet,2013-10-28,2021-10-28,October,Thursday,11
Theresina Woolnough,2014-09-19,2021-09-19,September,Friday,29
Marie Antuk,2015-08-11,2022-08-11,August,Thursday,10
Dolorita Borrows,2011-11-20,2021-11-20,November,Friday,38
Cass Seivertsen,2015-03-01,2022-03-01,March,Tuesday,13
Trumaine Goncalo,2012-01-09,2022-01-09,January,Friday,33
Frank Mersh,2014-09-04,2021-09-04,September,Friday,29
Magdalene Treend,2011-10-20,2021-10-20,October,Wednesday,14
Blanca Arnaez,2015-04-27,2022-04-27,April,Wednesday,12
Shirline Saben,2012-02-07,2022-02-07,February,Monday,12
Grace Fernie,2014-06-20,2022-06-20,June,Monday,9
Theda Ryam,2013-06-15,2022-06-15,June,Wednesday,15
Ginny Sebyer,2014-12-22,2021-12-22,December,Wednesday,20
Jesse Worsall,2015-04-24,2022-04-24,April,Friday,55
Sammy Ferrarotti,2013-07-23,2022-07-23,July,Friday,49
Alta Ianittello,2013-01-03,2022-01-03,January,Monday,14
Joye Sleit,2013-07-29,2022-07-29,July,Friday,49
Hanny Cullity,2015-07-01,2022-07-01,July,Friday,49
Fair Brandi,2012-06-14,2022-06-14,June,Tuesday,11
Derry Crowest,2015-08-02,2022-08-02,August,Tuesday,15
Sasha Tukesby,2013-05-19,2022-05-19,May,Thursday,12
Jeffry De Blasio,2012-06-09,2022-06-09,June,Thursday,12
Mildrid Blurton,2013-07-04,2022-07-04,July,Monday,11
Benedetto Staker,2012-09-11,2021-09-11,September,Friday,29
Yalonda Cranch,2015-04-08,2022-04-08,April,Friday,55
Andeee Dorrity,2015-07-25,2022-07-25,July,Monday,11
Aron Cosslett,2013-07-16,2022-07-16,July,Friday,49
Agretha Ivanchikov,2011-09-23,2021-09-23,September,Thursday,14
Desirae Tondeur,2014-07-15,2022-07-15,July,Friday,49
De witt Moorton,2014-06-06,2022-06-06,June,Monday,9
Etti Ehlerding,2012-11-23,2021-11-23,November,Tuesday,17
Stavros Rhead,2014-11-20,2021-11-20,November,Friday,38
Ansley Took,2015-08-17,2022-08-17,August,Wednesday,10
Langston Janjic,2014-01-06,2022-01-06,January,Thursday,6
Yasmin Jinkins,2011-09-04,2021-09-04,September,Friday,29
Corry Lassells,2011-11-24,2021-11-24,November,Wednesday,13
Kareem Shieldon,2012-04-11,2022-04-11,April,Monday,10
Blair Troyes,2013-12-19,2021-12-19,December,Friday,51
Ivy Briscam,2014-01-07,2022-01-07,January,Friday,33
Billie Keyte,2013-04-10,2022-04-10,April,Friday,55
Rhodie Lissimore,2012-01-09,2022-01-09,January,Friday,33
Jeannie Clausen-Thue,2012-12-17,2021-12-17,December,Friday,51
Lonnard Stivey,2014-05-02,2022-05-02,May,Monday,7
Jany Batcock,2012-09-13,2021-09-13,September,Monday,12
Demetris Aslett,2013-07-23,2022-07-23,July,Friday,49
Tammy Elcombe,2013-07-13,2022-07-13,July,Wednesday,19
Eddy O'Gaven,2013-08-26,2022-08-26,August,Friday,24
Stacee Martine,2013-09-06,2021-09-06,September,Monday,12
Vivyanne Aughtie,2013-06-23,2022-06-23,June,Thursday,12
Flinn Tollfree,2013-03-12,2022-03-12,March,Friday,31
Indira Verna,2012-06-24,2022-06-24,June,Friday,30
Maximilianus Hannam,2012-12-11,2021-12-11,December,Friday,51
Galvan Pioch,2013-12-04,2021-12-04,December,Friday,51
Margi Sentance,2015-04-26,2022-04-26,April,Tuesday,4
Ches Thornebarrow,2014-01-14,2022-01-14,January,Friday,33
Evelin Myott,2015-08-02,2022-08-02,August,Tuesday,15
Emmalyn Piegrome,2014-12-18,2021-12-18,December,Friday,51
Lindy Wallman,2012-11-27,2021-11-27,November,Friday,38
Kori Feavers,2011-12-07,2021-12-07,December,Tuesday,9
Gussy Dowdell,2014-07-08,2022-07-08,July,Friday,49
Merci Tutsell,2014-12-01,2021-12-01,December,Wednesday,20
Kameko Sherer,2012-08-04,2022-08-04,August,Thursday,10
Amye Barwis,2012-06-05,2022-06-05,June,Friday,30
Louisa McRamsey,2015-08-23,2022-08-23,August,Tuesday,15
Aveline Peggram,2015-01-18,2022-01-18,January,Tuesday,12
Valerie MacDonagh,2014-07-04,2022-07-04,July,Monday,11
Ileana Paolicchi,2012-06-03,2022-06-03,June,Friday,30
Warden McDonnell,2013-12-23,2021-12-23,December,Thursday,14
Cristi Hargrove,2012-08-16,2022-08-16,August,Tuesday,15
Warde Fullwood,2011-10-19,2021-10-19,October,Tuesday,13
Tristan Parman,2012-12-18,2021-12-18,December,Friday,51
Patience Turfin,2012-03-23,2022-03-23,March,Wednesday,6
Melva Bradburn,2014-07-01,2022-07-01,July,Friday,49
Robinett Kingaby,2015-02-27,2022-02-27,February,Friday,31
Jennee Portch,2012-04-01,2022-04-01,April,Friday,55
Tomi Murrison,2015-05-11,2022-05-11,May,Wednesday,8
Freddi Phillps,2011-11-10,2021-11-10,November,Wednesday,13
Hagan Rawne,2014-10-04,2021-10-04,October,Monday,9
Frieda Peart,2012-03-02,2022-03-02,March,Wednesday,6
Lucien Crean,2013-12-08,2021-12-08,December,Wednesday,20
Gilemette Vezey,2013-03-12,2022-03-12,March,Friday,31
Janith Amburgy,2013-04-17,2022-04-17,April,Friday,55
Cross Oleksinski,2015-01-14,2022-01-14,January,Friday,33
Krystle Davage,2012-07-27,2022-07-27,July,Wednesday,19
Doria Oulet,2014-07-28,2022-07-28,July,Thursday,12
Normie Cleave,2015-03-20,2022-03-20,March,Friday,31
Waly Tomet,2014-02-09,2022-02-09,February,Wednesday,8
Wadsworth Gores,2011-12-20,2021-12-20,December,Monday,8
Kyrstin Liebermann,2011-12-08,2021-12-08,December,Wednesday,20
Deni Baudin,2011-11-03,2021-11-03,November,Wednesday,13
Ceciley Kubicki,2015-07-28,2022-07-28,July,Thursday,12
Jordanna Siley,2013-04-22,2022-04-22,April,Friday,55
Bobbette Whiteley,2013-02-07,2022-02-07,February,Monday,12
Peyton Addekin,2013-05-11,2022-05-11,May,Wednesday,8
Lief Barajaz,2012-02-19,2022-02-19,February,Friday,31
Esmaria Tawn,2013-07-20,2022-07-20,July,Wednesday,19
Suzanne Guiso,2013-06-04,2022-06-04,June,Friday,30
Korella Lavelle,2013-05-12,2022-05-12,May,Thursday,12
Harold Heminsley,2012-10-16,2021-10-16,October,Friday,35
Minnaminnie Vaneev,2014-05-26,2022-05-26,May,Thursday,12
Amitie Elvy,2013-10-06,2021-10-06,October,Wednesday,14
Markus Madill,2014-08-21,2022-08-21,August,Friday,24
Carmon Phear,2013-01-09,2022-01-09,January,Friday,33
Freddie Eldered,2015-06-25,2022-06-25,June,Friday,30
Vallie Payton,2012-10-08,2021-10-08,October,Friday,35
Rafaello Shelp,2014-12-25,2021-12-25,December,Friday,51
Elana Dupree,2012-04-09,2022-04-09,April,Friday,55
Davita Reder,2013-07-21,2022-07-21,July,Thursday,12
Zedekiah Anstie,2011-09-08,2021-09-08,September,Wednesday,14
Cassie Margaritelli,2011-09-20,2021-09-20,September,Monday,12
Sinclair Blacklock,2015-05-05,2022-05-05,May,Thursday,12
Farrell Nise,2013-01-08,2022-01-08,January,Friday,33
Georgena Richings,2015-05-22,2022-05-22,May,Friday,31
Kahlil Buie,2012-09-28,2021-09-28,September,Tuesday,7
Drusi Beckenham,2012-04-14,2022-04-14,April,Thursday,11
Bogey Andresen,2012-01-23,2022-01-23,January,Friday,33
Jobi Dreossi,2015-04-15,2022-04-15,April,Friday,55
Isacco Holston,2012-06-28,2022-06-28,June,Tuesday,11
Andris Somerbell,2015-03-27,2022-03-27,March,Friday,31
Casey Kelshaw,2015-02-24,2022-02-24,February,Thursday,12
Dru Lorryman,2012-08-15,2022-08-15,August,Monday,12
Gothart Duigan,2014-02-19,2022-02-19,February,Friday,31
Jarred Aggas,2014-01-14,2022-01-14,January,Friday,33
Emili Matyja,2013-01-05,2022-01-05,January,Wednesday,14
Sherilyn Jilkes,2012-03-22,2022-03-22,March,Tuesday,13
Jacklin Scoyne,2015-01-29,2022-01-29,January,Friday,33
Kip Bannell,2012-10-18,2021-10-18,October,Monday,9
Miles Pavitt,2015-07-27,2022-07-27,July,Wednesday,19
Hedvig Abbot,2014-03-20,2022-03-20,March,Friday,31
Melisa Fibbens,2015-03-31,2022-03-31,March,Thursday,19
Jecho Ebbrell,2014-11-02,2021-11-02,November,Tuesday,17
Barris Traves,2013-11-18,2021-11-18,November,Thursday,12
Norrie Kencott,2012-07-25,2022-07-25,July,Monday,11
Randell Gummow,2013-08-01,2022-08-01,August,Monday,12
Robby Scrivener,2014-11-19,2021-11-19,November,Friday,38
Gonzales Blanchard,2013-06-04,2022-06-04,June,Friday,30
Marcela Gath,2011-11-05,2021-11-05,November,Friday,38
Meryl Laytham,2012-11-22,2021-11-22,November,Monday,12
Jacinda Gelderd,2015-05-12,2022-05-12,May,Thursday,12
Ilyssa Fortie,2015-05-21,2022-05-21,May,Friday,31
Pascale Casini,2013-05-14,2022-05-14,May,Friday,31
Katlin Maulden,2013-02-19,2022-02-19,February,Friday,31
Perkin Caughey,2012-10-16,2021-10-16,October,Friday,35
Leopold Banton,2012-07-21,2022-07-21,July,Thursday,12
Brittaney Cumberpatch,2013-08-24,2022-08-24,August,Wednesday,10
Glynda Lidierth,2015-01-23,2022-01-23,January,Friday,33
Lukas Gallon,2011-12-12,2021-12-12,December,Friday,51
Massimo Bedminster,2014-04-13,2022-04-13,April,Wednesday,12
Franciska Betonia,2012-07-11,2022-07-11,July,Monday,11
Kathrine Ducastel,2012-05-10,2022-05-10,May,Tuesday,15
Jaymee Mannakee,2012-10-02,2021-10-02,October,Friday,35
Cam Riccardini,2015-02-01,2022-02-01,February,Tuesday,13
Jamima Cossor,2013-11-05,2021-11-05,November,Friday,38
Red Braybrook,2012-05-12,2022-05-12,May,Thursday,12
Agnese Wahlberg,2013-07-18,2022-07-18,July,Monday,11
Erasmus Simmers,2014-12-29,2021-12-29,December,Wednesday,20
Amye Berni,2014-10-03,2021-10-03,October,Friday,35
Korney Perring,2013-09-23,2021-09-23,September,Thursday,14
Tiphany Yepiskov,2015-06-27,2022-06-27,June,Monday,9
Jeannette Kocher,2013-07-07,2022-07-07,July,Thursday,12
Brig Tremontana,2014-03-01,2022-03-01,March,Tuesday,13
Hiram Birkenshaw,2013-07-03,2022-07-03,July,Friday,49
Louis Gabbatiss,2012-02-22,2022-02-22,February,Tuesday,13
Christoforo Gillon,2012-02-14,2022-02-14,February,Monday,12
Tatum Daughton,2015-04-08,2022-04-08,April,Friday,55
Amberly Wones,2013-07-22,2022-07-22,July,Friday,49
Suzanna Richardeau,2013-05-07,2022-05-07,May,Friday,31
Jamima Heed,2011-09-10,2021-09-10,September,Friday,29
Sandy Helks,2013-04-02,2022-04-02,April,Friday,55
Gabbi Dowdell,2013-06-22,2022-06-22,June,Wednesday,15
Faustine Trimmell,2013-12-22,2021-12-22,December,Wednesday,20
Keelia McBoyle,2015-03-21,2022-03-21,March,Monday,8
Wanids Jaffrey,2013-07-12,2022-07-12,July,Tuesday,12
Flint Donlon,2015-03-10,2022-03-10,March,Thursday,19
Emile Sprules,2014-02-18,2022-02-18,February,Friday,31
Ferne Poure,2015-05-21,2022-05-21,May,Friday,31
Antoine Haycox,2014-09-14,2021-09-14,September,Tuesday,7
Henka Tartt,2014-05-31,2022-05-31,May,Tuesday,15
Glennis Eastlake,2012-10-25,2021-10-25,October,Monday,9
Norris Denness,2014-07-13,2022-07-13,July,Wednesday,19
Michele Keford,2015-03-15,2022-03-15,March,Tuesday,13
Chere Vinson,2013-03-04,2022-03-04,March,Friday,31
Natalie Swynfen,2013-10-06,2021-10-06,October,Wednesday,14
Zane Slaght,2011-12-15,2021-12-15,December,Wednesday,20
Penni Nobriga,2014-05-27,2022-05-27,May,Friday,31
Deb Martina,2013-03-22,2022-03-22,March,Tuesday,13
Alix McGonnell,2012-10-20,2021-10-20,October,Wednesday,14
Poppy Denniston,2012-11-12,2021-11-12,November,Friday,38
Dino Behr,2012-12-20,2021-12-20,December,Monday,8
Nikolai Paynton,2015-04-06,2022-04-06,April,Wednesday,12
Kalindi Abella,2011-12-05,2021-12-05,December,Friday,51
Lina Jedrzejczyk,2014-09-13,2021-09-13,September,Monday,12
Darrick Shellard,2013-03-27,2022-03-27,March,Friday,31
Eunice Brazur,2012-01-16,2022-01-16,January,Friday,33
Livvyy Vasquez,2011-09-15,2021-09-15,September,Wednesday,14
Hyacintha Figgen,2012-06-02,2022-06-02,June,Thursday,12
Reggis Daniello,2014-10-16,2021-10-16,October,Friday,35
Braden Berrane,2015-04-30,2022-04-30,April,Friday,55
Gil Wyrall,2011-12-13,2021-12-13,December,Monday,8
Emylee Yurygyn,2014-04-24,2022-04-24,April,Friday,55
Rori Colvill,2014-04-08,2022-04-08,April,Friday,55
Margot Ibbitson,2015-02-24,2022-02-24,February,Thursday,12
Brenden Greengrass,2012-11-20,2021-11-20,November,Friday,38
Pepi Marte,2013-12-30,2021-12-30,December,Thursday,14
Lindi Veare,2014-08-27,2022-08-27,August,Friday,24
Randi Slucock,2015-08-16,2022-08-16,August,Tuesday,15
Tate Guitton,2014-07-09,2022-07-09,July,Friday,49
Farris Queree,2013-11-11,2021-11-11,November,Thursday,12
Janina Goulstone,2012-06-20,2022-06-20,June,Monday,9
Samara McCuaig,2012-09-06,2021-09-06,September,Monday,12
Austin Sangwin,2014-07-07,2022-07-07,July,Thursday,12
Jasmina Langforth,2012-04-03,2022-04-03,April,Friday,55
Marve Geaney,2014-04-15,2022-04-15,April,Friday,55
Alyda Drinkel,2012-08-22,2022-08-22,August,Monday,12
Karry McLean,2011-10-05,2021-10-05,October,Tuesday,13
Jorgan Beggan,2015-02-28,2022-02-28,February,Monday,12
Ned Mathouse,2013-11-12,2021-11-12,November,Friday,38
Harrietta Chumley,2012-01-20,2022-01-20,January,Thursday,6
Florida Forestall,2012-11-02,2021-11-02,November,Tuesday,17
Dodie Potteril,2011-10-05,2021-10-05,October,Tuesday,13
Lacey Addeycott,2013-08-28,2022-08-28,August,Friday,24
Yoshiko Cona,2011-12-23,2021-12-23,December,Thursday,14
Maggi Readwood,2014-02-07,2022-02-07,February,Monday,12
Davon Regglar,2012-12-27,2021-12-27,December,Monday,8
Laird Dainty,2015-06-27,2022-06-27,June,Monday,9
Melvin Halfhyde,2012-05-12,2022-05-12,May,Thursday,12
Emlen Dumingo,2014-11-19,2021-11-19,November,Friday,38
Aliza Tarbett,2014-04-06,2022-04-06,April,Wednesday,12
Rosalynd Henrion,2013-01-26,2022-01-26,January,Wednesday,14
Agata Martyn,2013-11-23,2021-11-23,November,Tuesday,17
Basia Oswal,2015-07-06,2022-07-06,July,Wednesday,19
Trumaine Beggs,2012-08-31,2022-08-31,August,Wednesday,10
Loreen MacCauley,2015-06-07,2022-06-07,June,Tuesday,11
Lynea Zorzi,2013-01-24,2022-01-24,January,Monday,14
Hans Bolstridge,2012-11-29,2021-11-29,November,Monday,12
Irvine Roycroft,2013-08-11,2022-08-11,August,Thursday,10
Thorstein Valente,2014-03-11,2022-03-11,March,Friday,31
Rosemonde Grovier,2015-04-07,2022-04-07,April,Thursday,11
Pepe Elsey,2014-12-04,2021-12-04,December,Friday,51
Nick Jurzyk,2014-12-26,2021-12-26,December,Friday,51
Katharina Joscelyne,2014-04-17,2022-04-17,April,Friday,55
Skip Geipel,2014-09-25,2021-09-25,September,Friday,29
Parrnell Penrith,2011-09-04,2021-09-04,September,Friday,29
Reggis Ferandez,2014-03-18,2022-03-18,March,Friday,31
Valentine Bischof,2014-06-28,2022-06-28,June,Tuesday,11
Adah Townson,2013-05-02,2022-05-02,May,Monday,7
Andy Yosifov,2015-06-15,2022-06-15,June,Wednesday,15
Tracey Milham,2015-01-02,2022-01-02,January,Friday,33
Tammie Meynell,2014-04-10,2022-04-10,April,Friday,55
Haywood Tithecote,2013-10-28,2021-10-28,October,Thursday,11
Caye Gove,2013-08-13,2022-08-13,August,Friday,24
Armstrong Nutman,2012-01-05,2022-01-05,January,Wednesday,14
Mariska Bront,2013-09-20,2021-09-20,September,Monday,12
Shina Ivanin,2013-07-05,2022-07-05,July,Tuesday,12
Vance Bissiker,2013-06-26,2022-06-26,June,Friday,30
Ebenezer Tussaine,2015-02-28,2022-02-28,February,Monday,12
Findley Enriques,2014-01-17,2022-01-17,January,Monday,14
Rosamond Belshaw,2014-02-06,2022-02-06,February,Friday,31
Barclay Fieldgate,2012-04-30,2022-04-30,April,Friday,55
Tammie O' Connell,2011-12-29,2021-12-29,December,Wednesday,20
Jami Plunket,2014-07-16,2022-07-16,July,Friday,49
Stacee Spinetti,2015-04-20,2022-04-20,April,Wednesday,12
Correna Segrave,2013-07-09,2022-07-09,July,Friday,49
Gil Hele,2012-05-03,2022-05-03,May,Tuesday,15
Isaiah Doig,2013-11-01,2021-11-01,November,Monday,12
Davidson Quodling,2014-06-19,2022-06-19,June,Friday,30
Saul Swaby,2014-07-28,2022-07-28,July,Thursday,12
Melanie Glassard,2013-08-22,2022-08-22,August,Monday,12
Sharity Galland,2012-01-16,2022-01-16,January,Friday,33
Antoine Lillgard,2014-05-10,2022-05-10,May,Tuesday,15
Dorotea Wadesworth,2011-09-12,2021-09-12,September,Friday,29
Kimberlee Ciani,2014-10-24,2021-10-24,October,Friday,35
Pauline Dorsey,2015-03-03,2022-03-03,March,Thursday,19
Bettina Forward,2015-07-07,2022-07-07,July,Thursday,12
Mike Ginnelly,2011-10-30,2021-10-30,October,Friday,35
Conroy Hatcliffe,2012-06-18,2022-06-18,June,Friday,30
Cecil Gavaghan,2013-01-12,2022-01-12,January,Wednesday,14
Filippa Pattingson,2014-11-04,2021-11-04,November,Thursday,12
Janene Harford,2012-02-27,2022-02-27,February,Friday,31
Carri Livings,2012-07-27,2022-07-27,July,Wednesday,19
Mitzi Kleinhandler,2013-10-19,2021-10-19,October,Tuesday,13
Shaine Matas,2012-10-16,2021-10-16,October,Friday,35
Fraze Tutin,2013-09-02,2021-09-02,September,Thursday,14
Nola Mallett,2015-06-10,2022-06-10,June,Friday,30
Hardy Burford,2014-04-05,2022-04-05,April,Tuesday,4
Sarine Pedlingham,2013-09-16,2021-09-16,September,Thursday,14
Bary Amyes,2013-07-20,2022-07-20,July,Wednesday,19
Berthe Sheerman,2013-09-29,2021-09-29,September,Wednesday,14
Charisse Divina,2014-10-21,2021-10-21,October,Thursday,11
Calla Emms,2013-07-22,2022-07-22,July,Friday,49
West Breheny,2015-04-25,2022-04-25,April,Monday,10
Patsy Piner,2013-09-29,2021-09-29,September,Wednesday,14
Fairleigh Janusz,2012-02-28,2022-02-28,February,Monday,12
Rodrick Lepere,2012-09-19,2021-09-19,September,Friday,29
Kissie Burkert,2015-07-28,2022-07-28,July,Thursday,12
Alanson Joost,2015-07-10,2022-07-10,July,Friday,49
Shelly Deares,2014-07-17,2022-07-17,July,Friday,49
Angy Moseby,2012-02-27,2022-02-27,February,Friday,31
Corabel Triggol,2015-02-05,2022-02-05,February,Friday,31
Jose Kennan,2011-09-23,2021-09-23,September,Thursday,14
Ferd Dey,2015-04-05,2022-04-05,April,Tuesday,4
Katlin Bumphrey,2012-02-28,2022-02-28,February,Monday,12
Dana Gauld,2014-07-15,2022-07-15,July,Friday,49
Alys McReidy,2011-10-21,2021-10-21,October,Thursday,11
Maure Kenwell,2012-10-20,2021-10-20,October,Wednesday,14
Virgie Roark,2015-08-12,2022-08-12,August,Friday,24
Jacklin Biggerstaff,2015-05-30,2022-05-30,May,Monday,7
Wade Fautly,2014-09-28,2021-09-28,September,Tuesday,7
Loydie Capewell,2014-04-06,2022-04-06,April,Wednesday,12
Emmalynn Sankey,2014-06-11,2022-06-11,June,Friday,30
Shannon Gerring,2013-08-30,2022-08-30,August,Tuesday,15
Denna Cornewall,2011-10-17,2021-10-17,October,Friday,35
Meyer Barca,2014-07-13,2022-07-13,July,Wednesday,19
Goldia Macklin,2013-01-17,2022-01-17,January,Monday,14
Curry Dawbery,2013-04-25,2022-04-25,April,Monday,10
Heidi Elderkin,2012-11-16,2021-11-16,November,Tuesday,17
Peggie Derrett,2012-06-29,2022-06-29,June,Wednesday,15
Ingunna Hauck,2015-01-26,2022-01-26,January,Wednesday,14
Emmott Gosson,2012-02-01,2022-02-01,February,Tuesday,13
Guinna O'Currine,2015-02-07,2022-02-07,February,Monday,12
Haleigh Causier,2012-05-31,2022-05-31,May,Tuesday,15
Karel Hovenden,2014-10-06,2021-10-06,October,Wednesday,14
Ragnar Heathcott,2015-02-03,2022-02-03,February,Thursday,12
Axe Gleder,2014-05-03,2022-05-03,May,Tuesday,15
Poul Frane,2012-04-11,2022-04-11,April,Monday,10
Jerry Pelerin,2011-11-17,2021-11-17,November,Wednesday,13
Gayler Littledike,2013-12-08,2021-12-08,December,Wednesday,20
Bartlett Chilvers,2015-08-22,2022-08-22,August,Monday,12
Harwell Munnings,2013-12-25,2021-12-25,December,Friday,51
Russell Constantine,2012-11-14,2021-11-14,November,Friday,38
Zulema Ludlom,2015-01-25,2022-01-25,January,Tuesday,12
